time,open,high,low,close,Volume,Volume MA
2017-08-17T00:00:00Z,4261.48,4485.39,4200.74,4285.08,795.150377,NaN
2017-08-18T00:00:00Z,4285.08,4371.52,3938.77,4108.37,1199.888264,NaN
2017-08-19T00:00:00Z,4108.37,4184.69,3850,4139.98,381.309763,NaN
2017-08-20T00:00:00Z,4120.98,4211.08,4032.62,4086.29,467.083022,NaN
2017-08-21T00:00:00Z,4069.13,4119.62,3911.79,4016,691.74306,NaN
2017-08-22T00:00:00Z,4016,4104.82,3400,4040,966.684858,NaN
2017-08-23T00:00:00Z,4040,4265.8,4013.89,4114.01,1001.136565,NaN
2017-08-24T00:00:00Z,4147,4371.68,4085.01,4316.01,787.418753,NaN
2017-08-25T00:00:00Z,4316.01,4453.91,4247.48,4280.68,573.61274,NaN
2017-08-26T00:00:00Z,4280.71,4367,4212.41,4337.44,228.108068,NaN
2017-08-27T00:00:00Z,4332.51,4400,4285.54,4310.01,350.692585,NaN
2017-08-28T00:00:00Z,4310.01,4399.82,4124.54,4386.69,603.841616,NaN
2017-08-29T00:00:00Z,4353.65,4625.85,4313.55,4587.48,603.545028,NaN
2017-08-30T00:00:00Z,4564.52,4647.51,4416.01,4555.14,808.468771,NaN
2017-08-31T00:00:00Z,4555.14,4745.42,4555.14,4724.89,556.956802,NaN
2017-09-01T00:00:00Z,4689.89,4885.55,4654.88,4834.91,560.666366,NaN
2017-09-02T00:00:00Z,4796.16,4939.19,4286.87,4472.14,929.148595,NaN
2017-09-03T00:00:00Z,4508.5,4714.76,4298.33,4509.08,691.216198,NaN
2017-09-04T00:00:00Z,4505,4527.49,3972.51,4100.11,1394.644614,NaN
2017-09-05T00:00:00Z,4106.97,4484.99,3603,4366.47,1228.938157,741.0127101
2017-09-06T00:00:00Z,4366.49,4662.87,4335.26,4619.77,807.363726,741.62337755
2017-09-07T00:00:00Z,4619.77,4788.59,4438.19,4691.61,500.429975,706.6504631
2017-09-08T00:00:00Z,4691.66,4735.39,4028.93,4282.8,1132.255046,744.1977272500001
2017-09-09T00:00:00Z,4282.8,4426.62,4150.06,4258.81,658.782952,753.78272375
2017-09-10T00:00:00Z,4258.81,4283,3801,4130.37,660.373275,752.2142345
2017-09-11T00:00:00Z,4153.62,4334.43,4098.91,4208.47,699.989065,738.8794448499999
2017-09-12T00:00:00Z,4208.6,4394.59,4040.8,4163.72,879.630319,732.8041325499998
2017-09-13T00:00:00Z,4159.72,4165.38,3760,3944.69,913.462545,739.1063221499999
2017-09-14T00:00:00Z,3944,3993,3165.13,3189.02,1665.021543,793.6767622999998
2017-09-15T00:00:00Z,3188.01,3856,2817,3700,1968.866492,880.7146835
2017-09-16T00:00:00Z,3674.01,3950,3470.66,3714.95,1297.563953,928.0582519
2017-09-17T00:00:00Z,3685.23,3748.21,3499.02,3699.99,682.17121,931.9747315999999
2017-09-18T00:00:00Z,3690,4123.2,3690,4035.01,1030.006455,953.2978029499998
2017-09-19T00:00:00Z,4060,4089.97,3830.91,3910.04,902.332129,957.9909708499997
2017-09-20T00:00:00Z,3910.04,4046.08,3820,3900,720.935076,966.1898845499998
2017-09-21T00:00:00Z,3889.99,3910,3567,3609.99,1001.654084,988.2392704499998
2017-09-22T00:00:00Z,3592.84,3750,3505.55,3595.87,838.966425,983.7301619499998
2017-09-23T00:00:00Z,3595.88,3817.19,3542.91,3780,752.792791,986.8089915999999
